 	Area	XM	YM	Slice
251	506	823.713	246.340	26
252	628	182.893	254.062	26
253	595	520.090	269.636	26
254	244	596.102	33.672	27
255	332	453.500	34.843	27
256	358	150.436	86.592	27
257	414	225.872	92.932	27
258	424	260.837	102.288	27
259	912	696.395	228.701	27
260	615	183.254	254.176	27
261	626	520.013	269.657	27
262	491	841.779	269.826	27
263	331	453.092	34.718	28
264	236	595.932	33.771	28
265	346	150.552	87.289	28
266	425	225.829	92.653	28
267	407	260.704	102.308	28
268	919	696.295	228.710	28
269	634	183.188	253.850	28
270	638	520.067	269.820	28
271	519	841.352	269.866	28
272	247	595.990	33.362	29
273	335	453.258	34.915	29
274	348	150.687	87.279	29
275	428	225.785	92.764	29
276	423	260.658	102.767	29
277	911	697.693	230.008	29
278	643	183.107	253.853	29
279	620	519.963	269.684	29
280	510	841.143	269.751	29
281	329	453.114	34.649	30
282	229	595.954	33.347	30
283	363	150.530	87.343	30
284	428	226.075	92.502	30
285	420	260.900	102.445	30
286	912	697.753	229.856	30
287	643	182.953	253.806	30
288	625	520.063	269.655	30
289	502	841.462	269.795	30
290	300	449.037	32.917	31
291	241	596.180	33.707	31
292	344	150.483	86.779	31
293	432	225.940	92.602	31
294	381	256.353	98.841	31
295	913	697.589	230.401	31
296	622	182.807	253.441	31
297	633	519.879	269.789	31
298	505	841.633	269.910	31
299	244	596.029	33.344	32
300	311	448.751	32.500	32
301	361	150.589	87.010	32
302	414	225.841	92.471	32
303	372	255.944	99.134	32
304	908	697.545	229.847	32
305	608	183.248	253.456	32
306	610	519.985	269.639	32
307	505	841.389	269.583	32
308	320	450.441	29.903	33
309	231	595.833	33.738	33
310	367	150.699	87.056	33
311	402	257.821	89.525	33
312	426	225.566	92.678	33
313	900	697.700	230.249	33
314	627	182.449	253.940	33
315	603	520.085	269.682	33
316	490	841.349	269.339	33
317	311	450.236	29.680	34
318	246	596.016	33.667	34
319	360	150.486	86.825	34
320	407	257.893	89.296	34
321	421	225.866	92.571	34
322	884	697.647	229.443	34
323	615	183.372	253.750	34
324	621	520.031	269.837	34
325	517	841.036	269.835	34
326	319	450.356	29.660	35
327	252	596.250	33.552	35
328	421	258.614	83.742	35
329	349	150.655	86.999	35
330	422	225.851	92.768	35
331	910	697.677	230.023	35
332	621	183.160	253.867	35
333	626	520.203	269.834	35
334	520	841.346	269.906	35
335	330	450.636	29.642	36
336	250	595.896	33.232	36
337	425	258.491	83.585	36
338	376	150.420	87.207	36
339	431	225.887	92.781	36
340	572	74.913	212.521	36
341	912	697.549	229.716	36
342	633	520.167	269.818	36
343	506	841.522	269.702	36
344	310	450.626	29.545	37
345	232	596.103	33.642	37
346	406	258.847	83.635	37
347	361	150.398	86.938	37
348	415	225.924	92.517	37
349	910	697.560	230.046	37
350	556	48.250	228.725	37
351	614	520.024	269.725	37
352	474	841.555	269.713	37
353	318	450.264	30.333	38
354	249	595.970	33.456	38
355	412	258.915	83.721	38
356	370	150.505	86.995	38
357	439	225.819	92.644	38
358	916	697.497	230.168	38
359	577	48.316	228.304	38
360	615	519.811	269.632	38
361	508	841.404	269.799	38
362	305	453.356	28.100	39
363	247	596.038	33.970	39
364	416	258.767	83.661	39
365	365	150.527	87.201	39
366	430	225.695	92.635	39
367	935	697.700	229.824	39
368	535	48.476	228.835	39
369	635	520.150	269.779	39
370	518	841.133	269.944	39
371	298	453.131	27.923	40
372	260	596.242	32.365	40
373	411	258.422	83.288	40
374	344	150.404	86.930	40
375	410	226.368	92.654	40
376	940	697.710	229.798	40
377	575	48.159	228.841	40
378	631	519.998	269.758	40
379	502	841.165	269.701	40
380	287	453.061	27.726	41
381	241	596.255	32.500	41
382	405	258.369	83.680	41
383	356	150.607	87.039	41
384	431	225.962	92.375	41
385	904	697.616	229.858	41
386	553	47.977	228.448	41
387	624	520.003	269.529	41
388	487	841.401	269.831	41
389	325	450.645	25.983	42
390	250	596.364	32.988	42
391	416	258.606	83.683	42
392	336	150.390	86.848	42
393	419	225.586	92.655	42
394	933	698.379	230.115	42
395	579	48.438	228.581	42
396	610	520.169	269.831	42
397	476	841.414	269.532	42
398	319	450.798	23.541	43
399	250	596.596	32.772	43
400	401	258.592	83.727	43
401	348	150.641	86.578	43
402	430	225.753	92.623	43
403	917	698.378	230.154	43
404	559	48.386	228.691	43
405	618	519.979	269.985	43
406	481	841.581	269.835	43
407	298	450.926	23.161	44
408	253	596.512	32.101	44
409	421	258.526	83.859	44
410	371	150.559	86.899	44
411	432	225.900	92.148	44
412	954	698.493	230.132	44
413	546	48.073	229.077	44
414	624	520.014	269.736	44
415	485	841.020	269.679	44
416	310	450.890	23.406	45
417	261	596.473	33.316	45
418	407	258.328	83.355	45
419	348	150.532	86.813	45
420	398	225.794	92.261	45
421	941	698.566	230.455	45
422	571	47.987	228.955	45
423	609	519.878	269.630	45
424	495	841.193	269.528	45
425	284	450.827	22.616	46
426	267	596.320	33.242	46
427	413	258.720	83.631	46
428	372	150.177	86.987	46
429	418	225.995	92.304	46
430	919	698.571	230.179	46
431	585	48.209	229.126	46
432	627	519.953	269.626	46
433	508	841.280	269.539	46
434	303	450.932	23.602	47
435	251	596.074	32.285	47
436	377	253.346	83.192	47
437	367	150.549	86.911	47
438	389	227.168	91.582	47
439	934	698.269	230.611	47
440	562	48.502	228.902	47
441	627	520.117	269.742	47
442	506	841.362	270	47
443	313	450.720	23.190	48
444	252	596.619	32.742	48
445	366	253.814	83.568	48
446	365	150.467	87.067	48
447	390	227.074	91.646	48
448	924	698.573	230.201	48
449	554	48.213	229.108	48
450	628	520.010	269.648	48
451	482	841.515	269.434	48
452	305	450.589	23.451	49
453	255	596.500	32.880	49
454	374	253.695	83.345	49
455	371	150.441	87.255	49
456	405	226.964	91.636	49
457	925	698.700	230.311	49
458	583	47.798	228.936	49
459	622	520.119	269.759	49
460	508	841.764	269.969	49
461	293	450.923	23.108	50
462	273	596.324	32.013	50
463	380	253.284	82.987	50
464	360	150.272	87.006	50
465	409	227.182	91.595	50
466	934	698.516	230.204	50
467	592	48.209	228.970	50
468	622	519.950	269.423	50
469	494	841.417	269.887	50
470	296	450.902	22.997	51
471	251	596.221	31.440	51
472	360	253.278	82.917	51
473	362	150.478	87.033	51
474	398	227.435	91.734	51
475	884	698.528	230.389	51
476	587	48.427	228.880	51
477	610	520.184	269.448	51
478	464	841.440	269.647	51
479	315	450.944	23.237	52
480	249	596.472	32.388	52
481	367	253.418	83.184	52
482	350	150.443	87.049	52
483	379	227.038	91.511	52
484	922	698.683	230.227	52
485	554	47.906	228.731	52
486	610	519.979	269.392	52
487	491	841.698	269.893	52
488	310	450.719	23.542	53
489	253	596.215	32.457	53
490	336	253.765	83.539	53
491	367	150.623	87.023	53
492	365	227.270	91.470	53
493	873	694.097	230.215	53
494	559	48.074	228.375	53
495	610	520.080	269.590	53
496	488	841.455	269.953	53
497	297	450.446	23.039	54
498	240	596.792	32.100	54
499	376	253.556	82.992	54
500	345	150.639	86.975	54
